날짜,북,동,남,서,강수량,풍속
2015-01-01,0.91,0,0,0.09,0,4.85
2015-01-02,0.91,0,0,0.09,0,3.19
2015-01-03,0.36,0.64,0,0,0,1.45
2015-01-04,0.62,0.38,0,0,0,2.52
2015-01-05,0.67,0.33,0,0,0,3.14
2015-01-06,0.86,0,0,0.14,3,4.76
2015-01-07,0.87,0,0,0.13,0,2.66
2015-01-08,0.91,0,0,0.09,0,2.21
2015-01-09,0.89,0,0,0.11,0,1.92
2015-01-10,0.91,0,0,0.09,0,2.72
2015-01-11,0.84,0,0,0.16,0,4.84
2015-01-12,0.84,0,0,0.16,0,1.85
2015-01-13,0.49,0.51,0,0,0,2.24
2015-01-14,0.36,0.64,0,0,0,1.9
2015-01-15,0.96,0,0,0.04,0,2.55
2015-01-16,0.96,0,0,0.04,0,4.57
2015-01-17,0.96,0,0,0.04,0,4.21
2015-01-18,0.56,0.44,0,0,4,2.79
2015-01-19,0.97,0,0,0.03,0,3.71
2015-01-20,0.32,0.68,0,0,0,1.76
2015-01-21,0.69,0.31,0,0,0,2.33
2015-01-22,0.9,0,0,0.1,0,1.44
2015-01-23,0.62,0.38,0,0,0,2.4
2015-01-24,0.89,0,0,0.11,0,2.15
2015-01-25,0.71,0.29,0,0,3,3.8
2015-01-26,0.88,0,0,0.12,0.5,3.18
2015-01-27,0.93,0,0,0.07,0,3.96
2015-01-28,0.91,0,0,0.09,0,3.13
2015-01-29,0.64,0.36,0,0,0,2.63
2015-01-30,0.86,0,0,0.14,0,3.58
2015-01-31,0.91,0,0,0.09,0,2.75
2015-02-01,0.89,0,0,0.11,0,2.34
2015-02-02,0.36,0.64,0,0,0,1.83
2015-02-03,0.91,0,0,0.09,0,2.83
2015-02-04,0.91,0,0,0.09,0,2.24
2015-02-05,0.91,0,0,0.09,0,2.9
2015-02-06,0.84,0,0,0.16,0,2.4
2015-02-07,0.91,0,0,0.09,0,3.87
2015-02-08,0.84,0,0,0.16,0,5.4
2015-02-09,0,0,0.91,0.09,0,3.44
2015-02-10,0,0,0.8,0.2,0,3.29
2015-02-11,0,0,0.89,0.11,0,1.8
2015-02-12,0.91,0,0,0.09,0,4.75
2015-02-13,0.96,0,0,0.04,0,2.76
2015-02-14,0.47,0,0,0.53,0,0.12
2015-02-15,0.7,0.3,0,0,0,3.92
2015-02-16,0.69,0.31,0,0,10.5,4.11
2015-02-17,0.93,0,0,0.07,0.5,3.82
2015-02-18,0.91,0,0,0.09,0,2.8
2015-02-19,0.93,0,0,0.07,0,0.87
2015-02-20,0.67,0.33,0,0,0,2.41
2015-02-21,0.73,0.27,0,0,8,3.66
2015-02-22,0,0,0.93,0.07,2.5,4.39
2015-02-23,0.87,0,0,0.13,0,2.8
2015-02-24,0.92,0,0,0.08,0,2.61
2015-02-25,0.37,0.63,0,0,0.5,1.81
2015-02-26,0,0,0,1,0.5,5.16
2015-02-27,0.91,0,0,0.09,0,4.92
2015-02-28,0.46,0.54,0,0,0,2.31
2015-03-01,0.96,0,0,0.04,0,3.48
2015-03-02,0.38,0.62,0,0,0,2.18
2015-03-03,0,0,0.36,0.64,5.5,3.35
2015-03-04,0.89,0,0,0.11,0,5.5
2015-03-05,0.93,0,0,0.07,0,2.24
2015-03-06,0.91,0,0,0.09,0,2.91
2015-03-07,0.93,0,0,0.07,0,2.46
2015-03-08,0.4,0.6,0,0,0,2.01
2015-03-09,0.87,0,0,0.13,0,6.63
2015-03-10,0.82,0,0,0.18,0,6.25
2015-03-11,0,0,0.87,0.13,0,4.16
2015-03-12,0,0,0.87,0.13,0,3.55
2015-03-13,0.91,0,0,0.09,0,2.97
2015-03-14,0.98,0,0,0.02,0,3.7
2015-03-15,0.91,0,0,0.09,0,3.02
2015-03-16,0.87,0,0,0.13,0,2.01
2015-03-17,0.41,0.59,0,0,0,2.22
2015-03-18,0.7,0.3,0,0,1.5,4.98
2015-03-19,0.73,0.27,0,0,0,2.4
2015-03-20,0.91,0,0,0.09,0,4.19
2015-03-21,0.82,0,0,0.18,0,2.79
2015-03-22,0.89,0,0,0.11,0,3.71
2015-03-23,0.82,0,0,0.18,0,3.99
2015-03-24,0,0,0,1,0,3.12
2015-03-25,0,0,0,1,0,3.19
2015-03-26,0,0,0.98,0.02,0,4.18
2015-03-27,0.94,0,0,0.06,0,2.95
2015-03-28,0.93,0,0,0.07,0,3.17
2015-03-29,0.89,0,0,0.11,0,2.19
2015-03-30,0.92,0,0,0.08,0,3.5
2015-03-31,0.62,0.38,0,0,2.5,2.94
2015-04-01,0.69,0.31,0,0,2.5,4.9
2015-04-02,0.71,0.29,0,0,28,4.68
2015-04-03,0,0,0.53,0.47,3.5,4.62
2015-04-04,0.71,0.29,0,0,0,5.23
2015-04-05,0.68,0.32,0,0,0.5,3.14
2015-04-06,0.8,0,0,0.2,0,3.74
2015-04-07,0.47,0.53,0,0,0,3.18
2015-04-08,0.58,0.42,0,0,0,3.15
2015-04-09,0.51,0.49,0,0,0,1.84
2015-04-10,0,0,0.91,0.09,0,4.22
2015-04-11,0,0,0.91,0.09,0,3.63
2015-04-12,0.69,0.31,0,0,0,4.38
2015-04-13,0.71,0.29,0,0,6.5,6.3
2015-04-14,0.67,0.33,0,0,10.5,3.27
2015-04-15,0,0,0.49,0.51,1,4.05
2015-04-16,0,0,0.69,0.31,7,4.45
2015-04-17,0,0,0.6,0.4,0,4.24
2015-04-18,0.7,0.3,0,0,0,2.59
2015-04-19,0.71,0.29,0,0,12,4.6
2015-04-20,0.47,0.53,0,0,5.5,4.04
2015-04-21,0,0,0.84,0.16,0,2.77
2015-04-22,0.91,0,0,0.09,0,3.59
2015-04-23,0,0,0.6,0.4,0,4.36
2015-04-24,0.89,0,0,0.11,0,3.21
2015-04-25,0.94,0,0,0.06,0,3.54
2015-04-26,0.53,0.47,0,0,0,2.19
2015-04-27,0,0,0.5,0.5,0,3.61
2015-04-28,0.49,0.51,0,0,0,2.32
2015-04-29,0.71,0.29,0,0,3.5,3.86
2015-04-30,0.53,0.47,0,0,0,2.17
2015-05-01,0.39,0.61,0,0,0,1.66
2015-05-02,0,0,0.99,0.01,0.5,2.87
2015-05-03,0.53,0.47,0,0,3.5,2.67
2015-05-04,0,0,0.87,0.13,0,3.54
2015-05-05,0,0,0.62,0.38,0,4.14
2015-05-06,0.62,0.38,0,0,0,1.95
2015-05-07,0.51,0.49,0,0,0,1.45
2015-05-08,0.92,0,0,0.08,0,2.79
2015-05-09,0.91,0,0,0.09,0,2.8
2015-05-10,0.93,0,0,0.07,0,2.87
2015-05-11,0.67,0.33,0,0,14,2.7
2015-05-12,0,0,0.58,0.42,9.5,7.13
2015-05-13,0,0,0.56,0.44,0,5.77
2015-05-14,0,0,0.42,0.58,0,3.72
2015-05-15,0.91,0,0,0.09,0,2.46
2015-05-16,0,0,0.91,0.09,0,1.17
2015-05-17,0.84,0,0,0.16,0,2.5
2015-05-18,0.42,0.58,0,0,0,1.89
2015-05-19,0,0,0.6,0.4,1,4.22
2015-05-20,0.91,0,0,0.09,0,2.76
2015-05-21,0,0,0.6,0.4,0,5.09
2015-05-22,0,0,0.96,0.04,0,3.56
2015-05-23,0,0,0.84,0.16,0,3.91
2015-05-24,0,0,0.98,0.02,0,3.14
2015-05-25,0,0,0.91,0.09,0,2.54
2015-05-26,0.98,0,0,0.02,0,2.93
2015-05-27,0.91,0,0,0.09,0,2.12
2015-05-28,0.67,0.33,0,0,0,1.94
2015-05-29,0.96,0,0,0.04,0,3.65
2015-05-30,0,0,0.91,0.09,0,3.03
2015-05-31,0,0,0.76,0.24,0,2.57
2015-06-01,0.91,0,0,0.09,0,3.09
2015-06-02,0.9,0,0,0.1,0,4.55
2015-06-03,0.68,0,0,0.32,0,4.06
2015-06-04,0.99,0,0,0.01,0,2.83
2015-06-05,0.68,0.32,0,0,,1.82
2015-06-06,0.49,0.51,0,0,0,1.96
2015-06-07,0.91,0,0,0.09,0,2.57
2015-06-08,0.82,0,0,0.18,0,2.96
2015-06-09,0.93,0,0,0.07,0,2.43
2015-06-10,0.78,0,0,0.22,0,2.67
2015-06-11,0.69,0.31,0,0,7.5,2.58
2015-06-12,0,0,0.6,0.4,0.5,4.16
2015-06-13,0,0,0.62,0.38,0.5,4.07
2015-06-14,0.91,0,0,0.09,15.5,3.03
2015-06-15,0.91,0,0,0.09,0,2.94
2015-06-16,0.93,0,0,0.07,0,2.55
2015-06-17,0.62,0.38,0,0,9.5,2.29
2015-06-18,0.67,0.33,0,0,3,3.41
2015-06-19,0.76,0.24,0,0,0,3.13
2015-06-20,0.67,0.33,0,0,44.5,1.95
2015-06-21,0,0,0.89,0.11,,3.43
2015-06-22,0,0,0.93,0.07,0,3.4
2015-06-23,0.89,0,0,0.11,0,2.82
2015-06-24,0,0,0.96,0.04,0,3
2015-06-25,0.64,0.36,0,0,2,2.63
2015-06-26,0.4,0.6,0,0,12.5,3.39
2015-06-27,0.64,0.36,0,0,0,2.59
2015-06-28,0,0,0.96,0.04,0,3.46
2015-06-29,0.91,0,0,0.09,0,3.08
2015-06-30,0.91,0,0,0.09,2.5,1.97
2015-07-01,0,0,0.8,0.2,0.5,3.71
2015-07-02,0,0,0.33,0.67,0,3.88
2015-07-03,0.87,0,0,0.13,0,3.03
2015-07-04,0.49,0.51,0,0,0,2.54
2015-07-05,0.92,0,0,0.08,0,2.27
2015-07-06,0.9,0,0,0.1,0,3.24
2015-07-07,0,0.51,0.49,0,0,2.45
2015-07-08,0.67,0.33,0,0,0.5,4.27
2015-07-09,0.71,0.29,0,0,0,3.67
2015-07-10,0.6,0.4,0,0,0,2.16
2015-07-11,0.62,0.38,0,0,0,1.8
2015-07-12,0.71,0.29,0,0,29,4.35
2015-07-13,0,0,0.56,0.44,10,5.92
2015-07-14,0,0,0.56,0.44,0,4.01
2015-07-15,0.68,0.32,0,0,0,4.57
2015-07-16,0.73,0.27,0,0,0,5.11
2015-07-17,0.67,0.33,0,0,0,3.67
2015-07-18,0.67,0.33,0,0,0.5,2.61
2015-07-19,0.67,0.33,0,0,5,2.2
2015-07-20,0.64,0.36,0,0,0,2.55
2015-07-21,0.69,0.31,0,0,11,1.77
2015-07-22,0.98,0,0,0.02,1,1.9
2015-07-23,0,0,0.33,0.67,16,3.81
2015-07-24,0,0,0.4,0.6,26.5,2.41
2015-07-25,0,0,0.49,0.51,80,3.41
2015-07-26,0,0,0.36,0.64,40.5,4.23
2015-07-27,0.83,0,0,0.17,1.5,2.76
2015-07-28,0.84,0,0,0.16,0,1.9
2015-07-29,0,0,0.31,0.69,4,3.5
2015-07-30,0,0,0.44,0.56,0,3.98
2015-07-31,0,0,0.63,0.37,0,3.34
2015-08-01,0,0,0.54,0.46,0,3.71
2015-08-02,0,0,0.64,0.36,,3.37
2015-08-03,0,0,0.38,0.62,0,4.41
2015-08-04,0,0,0.42,0.58,0,4.94
2015-08-05,0,0,0.38,0.62,0,4.86
2015-08-06,0.67,0,0,0.33,0,2.29
2015-08-07,0.33,0.67,0,0,11,1.19
2015-08-08,0.58,0.42,0,0,7.5,2.09
2015-08-09,0.84,0,0,0.16,0,2.96
2015-08-10,0.96,0,0,0.04,0,2.47
2015-08-11,0.89,0,0,0.11,0,2.27
2015-08-12,0.42,0.58,0,0,0,1.58
2015-08-13,0.56,0.44,0,0,0,1.95
2015-08-14,0.53,0.47,0,0,0,1.84
2015-08-15,0.53,0.47,0,0,0,1.78
2015-08-16,0.68,0.32,0,0,29,3.13
2015-08-17,0.69,0.31,0,0,,2.64
2015-08-18,0.71,0.29,0,0,0,2.94
2015-08-19,0.56,0.44,0,0,0,2.39
2015-08-20,0.84,0,0,0.16,0,1.92
2015-08-21,0.87,0,0,0.13,2.5,2.61
2015-08-22,0.91,0,0,0.09,0,3.36
2015-08-23,0.47,0.53,0,0,0,1.67
2015-08-24,0.71,0.29,0,0,0,4.14
2015-08-25,0.38,0.62,0,0,5.5,3.45
2015-08-26,0.89,0,0,0.11,0,3.05
2015-08-27,0.91,0,0,0.09,0,3.3
2015-08-28,0.93,0,0,0.07,0,1.68
2015-08-29,0.89,0,0,0.11,0,3.59
2015-08-30,0.8,0,0,0.2,0,2
2015-08-31,0.71,0.29,0,0,0,2.82
2015-09-01,0.71,0.29,0,0,0,3.64
2015-09-02,0.84,0.16,0,0,0.5,2.56
2015-09-03,0.84,0,0,0.16,,2.59
2015-09-04,0.89,0,0,0.11,0,2.51
2015-09-05,0.67,0.33,0,0,5,2.48
2015-09-06,0.64,0.36,0,0,0,3.6
2015-09-07,0.78,0.22,0,0,0,2.22
2015-09-08,0.67,0.33,0,0,0,3.42
2015-09-09,0.56,0.44,0,0,0,3.41
2015-09-10,0.96,0,0,0.04,0,3.14
2015-09-11,0.84,0,0,0.16,2.5,2.88
2015-09-12,0,0,0,1,0,1.61
2015-09-13,0.96,0,0,0.04,0,3.16
2015-09-14,0.53,0.47,0,0,0,2.14
2015-09-15,0.56,0.44,0,0,0,2.25
2015-09-16,0.64,0.36,0,0,0,3.11
2015-09-17,0.69,0.31,0,0,0,3.5
2015-09-18,0.69,0.31,0,0,0,2.78
2015-09-19,0.91,0,0,0.09,0,3.97
2015-09-20,0.38,0.62,0,0,0,1.34
2015-09-21,0.5,0,0,0.5,0,0.18
2015-09-22,0.67,0.33,0,0,0,1.8
2015-09-23,0.58,0.42,0,0,0,2.33
2015-09-24,0.6,0.4,0,0,0,1.74
2015-09-25,0.69,0.31,0,0,0,2.69
2015-09-26,0.82,0,0,0.18,0,2.17
2015-09-27,0.39,0.61,0,0,0,1.65
2015-09-28,0.4,0.6,0,0,0,1.63
2015-09-29,0.59,0.41,0,0,0,2.66
2015-09-30,0.96,0.04,0,0,0,2.84
2015-10-01,0.73,0.27,0,0,,3.57
2015-10-02,0,0,0.6,0.4,0,5.66
2015-10-03,0,0,0,1,0,4.77
2015-10-04,0.71,0,0,0.29,0,2.15
2015-10-05,0.36,0.64,0,0,0,1.49
2015-10-06,0.37,0.63,0,0,0,1.58
2015-10-07,0.28,0.72,0,0,0,0.58
2015-10-08,0.96,0,0,0.04,0,3.67
2015-10-09,0.96,0,0,0.04,0,3.99
2015-10-10,0,0,0.36,0.64,3.5,3.99
2015-10-11,0,0,0.96,0.04,3.5,2.6
2015-10-12,0.87,0,0,0.13,,2.73
2015-10-13,0,0,0.71,0.29,0,2.73
2015-10-14,0.33,0.67,0,0,0,1.51
2015-10-15,0.38,0.62,0,0,0,1.78
2015-10-16,0.82,0,0,0.18,0,2.5
2015-10-17,0.47,0.53,0,0,0,1.51
2015-10-18,0.34,0.66,0,0,0,0.91
2015-10-19,0.67,0.33,0,0,0,1.76
2015-10-20,0,0,0,1,0,0.67
2015-10-21,0.73,0,0,0.27,0,1.82
2015-10-22,0.69,0.31,0,0,0,3.01
2015-10-23,0,0,0.49,0.51,0,2.65
2015-10-24,0.8,0,0,0.2,10.5,2.6
2015-10-25,0.76,0.24,0,0,0,3.25
2015-10-26,0.69,0.31,0,0,2,2.53
2015-10-27,0.88,0,0,0.12,26.5,3.62
2015-10-28,0.96,0,0,0.04,0,3.48
2015-10-29,0.27,0.73,0,0,0.5,0.8
2015-10-30,0.82,0,0,0.18,0,3.51
2015-10-31,0.78,0,0,0.22,0,2.27
2015-11-01,0.44,0.56,0,0,0,1.82
2015-11-02,0.27,0.73,0,0,0,0.27
2015-11-03,0.34,0.66,0,0,0,1.1
2015-11-04,0.34,0.66,0,0,0,1.53
2015-11-05,0.31,0.69,0,0,0,1.02
2015-11-06,0.73,0.27,0,0,4.5,5.38
2015-11-07,0.73,0.27,0,0,24.5,6.02
2015-11-08,0.72,0.28,0,0,10.5,5.31
2015-11-09,0.8,0,0,0.2,3.5,2.59
2015-11-10,0.96,0,0,0.04,0,1.87
2015-11-11,0.71,0.29,0,0,0,3.18
2015-11-12,0.71,0.29,0,0,0,3.28
2015-11-13,0.71,0.29,0,0,22.5,4.14
2015-11-14,0.69,0.31,0,0,3.5,2.79
2015-11-15,0.93,0,0,0.07,0,1.88
2015-11-16,0.69,0.31,0,0,5.5,3.34
2015-11-17,0.76,0,0,0.24,0,2.07
2015-11-18,0.71,0.29,0,0,5.5,5.27
2015-11-19,0.73,0.27,0,0,0,3.51
2015-11-20,0.2,0.8,0,0,0,0.63
2015-11-21,0.73,0,0,0.27,0,2
2015-11-22,0.71,0.29,0,0,3.5,3.96
2015-11-23,0.71,0.29,0,0,6.5,4.51
2015-11-24,0.71,0.29,0,0,0.5,4.1
2015-11-25,0.69,0.31,0,0,11,3.66
2015-11-26,0.69,0,0,0.31,0,4.11
2015-11-27,0.82,0,0,0.18,0,3.25
2015-11-28,0.56,0.44,0,0,0,2.35
2015-11-29,0.67,0.33,0,0,3,3.53
2015-11-30,0.78,0,0,0.22,,2.21
2015-12-01,0.49,0.51,0,0,0,2.24
2015-12-02,0.64,0.36,0,0,13.5,2.38
2015-12-03,0.78,0,0,0.22,5,5.72
2015-12-04,0,0,0.91,0.09,0,1.05
2015-12-05,0,0,0.8,0.2,0,2.52
2015-12-06,0,0,0.84,0.16,0,0.97
2015-12-07,0.16,0,0,0.84,0,1.1
2015-12-08,0.41,0,0,0.59,0,1.23
2015-12-09,0,0.24,0.76,0,0,2.16
2015-12-10,0,0.31,0.69,0,0,2.37
2015-12-11,0.89,0.11,0,0,0,4.83
2015-12-12,0.19,0.81,0,0,0,1.2
2015-12-13,0.19,0.81,0,0,0,1.2
2015-12-14,0.19,0.81,0,0,2.5,2.3
2015-12-15,0.4,0.6,0,0,0,3.03
2015-12-16,0.36,0.64,0,0,0,3.32
2015-12-17,0.62,0.38,0,0,0,1.74
2015-12-18,0.62,0.38,0,0,0,0.9
2015-12-19,0,0.38,0.62,0,0,1.98
2015-12-20,0,0,0.28,0.72,0,1.05
2015-12-21,0,0.56,0.44,0,2,2.91
2015-12-22,0,0.47,0.53,0,0,1.95
2015-12-23,0,0.69,0.31,0,0,1.32
2015-12-24,0.91,0,0,0.09,0,1.1
2015-12-25,0,0,0.91,0.09,0,2.06
2015-12-26,0.73,0.27,0,0,1,2.27
2015-12-27,0.03,0.97,0,0,0,3.02
2015-12-28,0.81,0.19,0,0,0,1.59
2015-12-29,0,0.31,0.69,0,0,1.46
2015-12-30,0,0,0.16,0.84,2.5,2.21
2015-12-31,0.53,0.47,0,0,0,1.09
2016-01-01,0.91,0.09,0,0,0,0.92
2016-01-02,0.53,0,0,0.47,0,2.12
2016-01-03,0.28,0,0,0.72,0,1.01
2016-01-04,0.33,0,0,0.67,0,2.89
2016-01-05,0.28,0.72,0,0,0,1.22
2016-01-06,0.73,0.27,0,0,0,1.06
2016-01-07,0.22,0.78,0,0,0,1.62
2016-01-08,0.38,0.62,0,0,0,1.91
2016-01-09,0.47,0.53,0,0,0,1.48
2016-01-10,0.09,0,0,0.91,0,1.99
2016-01-11,0.56,0.44,0,0,0,2.68
2016-01-12,0.4,0.6,0,0,0,2.05
2016-01-13,0.5,0.5,0,0,0,1.91
2016-01-14,0,0,0.57,0.43,0,1.92
2016-01-15,0,0.5,0.5,0,0,2.07
2016-01-16,0,1,0,0,0,3.05
2016-01-17,0.91,0.09,0,0,0,2.71
2016-01-18,0.5,0,0,0.5,0,1.37
2016-01-19,0.33,0,0,0.67,0,5.72
2016-01-20,0.53,0.47,0,0,0,0.74
2016-01-21,0,0.09,0.91,0,0,0.75
2016-01-22,0.31,0,0,0.69,0,3.01
2016-01-23,0.22,0,0,0.78,0,4.67
2016-01-24,0.32,0,0,0.68,0,3.31
2016-01-25,0.12,0,0,0.88,0,0.64
2016-01-26,0.22,0.78,0,0,0,0.57
2016-01-27,0.43,0.57,0,0,0,0.31
2016-01-28,0.91,0.09,0,0,0,0.98
2016-01-29,0,0.16,0.84,0,0,2.28
2016-01-30,0.38,0,0,0.62,0,0.97
2016-01-31,0.56,0,0,0.44,0,3.12
2016-02-01,0.36,0,0,0.64,0,2.95
2016-02-02,0.47,0.53,0,0,0,0.31
2016-02-03,0.62,0.38,0,0,0,0.62
2016-02-04,0.24,0.76,0,0,0,0.23
2016-02-05,0.31,0,0,0.69,0,1.44
2016-02-06,0.29,0,0,0.71,0,3.11
2016-02-07,0.64,0,0,0.36,0,2.2
2016-02-08,0.62,0,0,0.38,0,1.04
2016-02-09,0.6,0,0,0.4,0,2.66
2016-02-10,0.93,0.07,0,0,0,1.1
2016-02-11,0,0.33,0.67,0,0,3.32
2016-02-12,0,1,0,0,18,2.26
2016-02-13,0,0.4,0.6,0,21,2.36
2016-02-14,0.69,0,0,0.31,2.5,4.74
2016-02-15,0.34,0,0,0.66,0,4.3
2016-02-16,0.5,0,0,0.5,0.5,1.17
2016-02-17,0.57,0,0,0.43,0,0.59
2016-02-18,0,0,0.91,0.09,0,5.02
2016-02-19,0.24,0,0,0.76,0,0.8
2016-02-20,0.72,0.28,0,0,0,0.48
2016-02-21,0.53,0,0,0.47,0,3.59
2016-02-22,0.28,0,0,0.72,0,0.88
2016-02-23,0.24,0,0,0.76,0.5,1.7
2016-02-24,0.31,0,0,0.69,0,2.15
2016-02-25,0.24,0,0,0.76,0,0.57
2016-02-26,0.41,0,0,0.59,0,1.9
2016-02-27,0.78,0.22,0,0,0,0.49
2016-02-28,0.66,0.34,0,0,3,0.75
2016-02-29,0.3,0,0,0.7,0,4.54
2016-03-01,0.47,0,0,0.53,0,2.54
2016-03-02,0,0,0.99,0.01,0,4.35
2016-03-03,0,0.07,0.93,0,0,0.65
2016-03-04,0,0.16,0.84,0,0,3.1
2016-03-05,0,0.13,0.87,0,40,3.1
2016-03-06,0.24,0,0,0.76,0,2.86
2016-03-07,0.07,0.93,0,0,0,1.28
2016-03-08,0.2,0,0,0.8,0,3.24
2016-03-09,0.24,0,0,0.76,0,3.86
2016-03-10,0.37,0,0,0.63,0,3.62
2016-03-11,0.57,0,0,0.43,0,1.65
2016-03-12,0.34,0,0,0.66,0,0.58
2016-03-13,0.62,0.38,0,0,0,0.38
2016-03-14,0.4,0,0,0.6,0,2.62
2016-03-15,0.36,0,0,0.64,0,2.62
2016-03-16,0.72,0.28,0,0,0,0.43
2016-03-17,0.24,0,0,0.76,0,0.84
2016-03-18,0.27,0,0,0.73,0,3.92
2016-03-19,0.36,0,0,0.64,0,2.12
2016-03-20,0.53,0,0,0.47,0,1.66
2016-03-21,0.47,0,0,0.53,0,1.53
2016-03-22,0.71,0,0,0.29,0,2.96
2016-03-23,0.37,0,0,0.63,0,3.02
2016-03-24,0.42,0,0,0.58,0,3.28
2016-03-25,0.31,0,0,0.69,0,1.44
2016-03-26,0.47,0,0,0.53,0,2.55
2016-03-27,0.51,0,0,0.49,0,3.02
2016-03-28,0.5,0,0,0.5,0,0.41
2016-03-29,0.93,0,0,0.07,0,4.17
2016-03-30,0.49,0,0,0.51,0,2.61
2016-03-31,0.31,0,0,0.69,0,0.95
2016-04-01,0.88,0.12,0,0,0,0.88
2016-04-02,0.5,0,0,0.5,0,0.66
2016-04-03,0.66,0.34,0,0,2,0.38
2016-04-04,0.53,0,0,0.47,0,3.38
2016-04-05,0.61,0,0,0.39,0,2.65
2016-04-06,0.96,0.04,0,0,3,2.06
2016-04-07,0.64,0,0,0.36,7.5,3.57
2016-04-08,0.51,0,0,0.49,0,2.97
2016-04-09,0.56,0,0,0.44,0,2.03
2016-04-10,0.6,0,0,0.4,0,2.8
2016-04-11,0.43,0,0,0.57,0,0.44
2016-04-12,0.62,0.38,0,0,0,0.33
2016-04-13,0.88,0.12,0,0,1,1.23
2016-04-14,0.5,0,0,0.5,0,2.05
2016-04-15,0.62,0,0,0.38,0,1.4
2016-04-16,0,0.18,0.82,0,23.5,4.26
2016-04-17,0.73,0,0,0.27,20.5,4.64
2016-04-18,0.69,0,0,0.31,1.5,2.53
2016-04-19,0.51,0,0,0.49,0,2.8
2016-04-20,0.69,0.31,0,0,0.5,0.55
2016-04-21,0,0.16,0.84,0,17,4.42
2016-04-22,0.47,0,0,0.53,0,2.94
2016-04-23,0.81,0.19,0,0,0,1.04
2016-04-24,0.4,0.6,0,0,0,0.37
2016-04-25,0.24,0,0,0.76,0,0.28
2016-04-26,0.62,0.38,0,0,0,0.37
2016-04-27,0,0.2,0.8,0,0,3.71
2016-04-28,0.87,0.13,0,0,0,1.82
2016-04-29,0.62,0,0,0.38,0,2.97
2016-04-30,0.96,0,0,0.04,0,3.34
2016-05-01,0,0,0.97,0.03,0,2.37
2016-05-02,0,0,0.8,0.2,16.5,2.63
2016-05-03,0.96,0,0,0.04,27,6.03
2016-05-04,0.73,0,0,0.27,0,5.31
2016-05-05,0.59,0,0,0.41,7.5,0.7
2016-05-06,0.76,0.24,0,0,9.5,0.36
2016-05-07,0.6,0,0,0.4,,3.09
2016-05-08,0.03,0.97,0,0,0,0.58
2016-05-09,0,0.38,0.62,0,0,0.6
2016-05-10,0.61,0.39,0,0,13.5,3.7
2016-05-11,0,0,0.93,0.07,0,2.65
2016-05-12,0,0,0.62,0.38,0,3.69
2016-05-13,0,0,0.33,0.67,0.5,2.26
2016-05-14,0.58,0.42,0,0,0,2.23
2016-05-15,0,0,0.89,0.11,45,3.32
2016-05-16,0,0,0.89,0.11,2.5,3.17
